Genus_species,CAAB,Region,Family,Min.depth,Max Depth,Common name,Primary Ecosystem
Abalistes stellatus,37465011,Gascoyne Coast,Balistidae,4,120,Starry Triggerfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abalistes stellatus,37465011,North Coast,Balistidae,4,120,Starry Triggerfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abalistes stellatus,37465011,West Coast,Balistidae,4,120,Starry Triggerfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abantennarius analis,37210016,North Coast,Antennariidae,1,21,Tailjet Anglerfish,Coastal (0-40m)
Abantennarius coccineus,37210017,Gascoyne Coast,Antennariidae,1,75,Freckled Anglerfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abantennarius coccineus,37210017,North Coast,Antennariidae,1,75,Freckled Anglerfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abantennarius coccineus,37210017,West Coast,Antennariidae,1,75,Freckled Anglerfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abantennarius dorehensis,37210019,North Coast,Antennariidae,1,3,New Guinean Anglerfish,Coastal (0-40m)
Abantennarius nummifer,37210011,Gascoyne Coast,Antennariidae,0,176,Spotfin Anglerfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abantennarius nummifer,37210011,North Coast,Antennariidae,0,176,Spotfin Anglerfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abantennarius nummifer,37210011,West Coast,Antennariidae,0,176,Spotfin Anglerfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abantennarius rosaceus,37210021,North Coast,Antennariidae,0,130,Rosy Anglerfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Ablabys taenianotus,37287031,Gascoyne Coast,Tetrarogidae,0,80,Cockatoo Waspfish,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Ablennes hians,37235001,Gascoyne Coast,Belonidae,1,10,Barred Longtom,"Coastal (0-40m)
Pelagic, Shelf (0-200m)
Pelagic, Epipelagic (0-200m, Oceanic)"
Ablennes hians,37235001,North Coast,Belonidae,1,10,Barred Longtom,"Coastal (0-40m)
Pelagic, Shelf (0-200m)
Pelagic, Epipelagic (0-200m, Oceanic)"
Ablennes hians,37235001,West Coast,Belonidae,1,10,Barred Longtom,"Coastal (0-40m)
Pelagic, Shelf (0-200m)
Pelagic, Epipelagic (0-200m, Oceanic)"
Abudefduf bengalensis,37372003,Gascoyne Coast,Pomacentridae,1,72,Bengal Sergeant,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abudefduf bengalensis,37372003,North Coast,Pomacentridae,1,72,Bengal Sergeant,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abudefduf bengalensis,37372003,West Coast,Pomacentridae,1,72,Bengal Sergeant,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Abudefduf septemfasciatus,37372010,North Coast,Pomacentridae,0,3,Banded Sergeant,Coastal (0-40m)
Abudefduf sexfasciatus,37372011,Gascoyne Coast,Pomacentridae,1,15,Scissortail Sergeant,Coastal (0-40m)
Abudefduf sexfasciatus,37372011,North Coast,Pomacentridae,1,15,Scissortail Sergeant,Coastal (0-40m)
Abudefduf sexfasciatus,37372011,West Coast,Pomacentridae,1,15,Scissortail Sergeant,Coastal (0-40m)
Abudefduf sordidus,37372012,Gascoyne Coast,Pomacentridae,0,3,Blackspot Sergeant,Coastal (0-40m)
Abudefduf sordidus,37372012,North Coast,Pomacentridae,0,3,Blackspot Sergeant,Coastal (0-40m)
Abudefduf sordidus,37372012,West Coast,Pomacentridae,0,3,Blackspot Sergeant,Coastal (0-40m)
Abudefduf vaigiensis,37372013,Gascoyne Coast,Pomacentridae,1,15,Indo-Pacific Sergeant,Coastal (0-40m)
Abudefduf vaigiensis,37372013,North Coast,Pomacentridae,1,15,Indo-Pacific Sergeant,Coastal (0-40m)
Abudefduf vaigiensis,37372013,West Coast,Pomacentridae,1,15,Indo-Pacific Sergeant,Coastal (0-40m)
Acanthaluteres brownii,37465001,South Coast,Monacanthidae,0,20,Spinytail Leatherjacket,Coastal (0-40m)
Acanthaluteres brownii,37465001,West Coast,Monacanthidae,0,20,Spinytail Leatherjacket,Coastal (0-40m)
Acanthaluteres spilomelanurus,37465043,South Coast,Monacanthidae,0,15,Bridled Leatherjacket,"Estuarine
Coastal (0-40m)"
Acanthaluteres spilomelanurus,37465043,West Coast,Monacanthidae,0,15,Bridled Leatherjacket,"Estuarine
Coastal (0-40m)"
Acanthaluteres vittiger,37465002,South Coast,Monacanthidae,1,40,Toothbrush Leatherjacket,Coastal (0-40m)
Acanthaluteres vittiger,37465002,West Coast,Monacanthidae,1,40,Toothbrush Leatherjacket,Coastal (0-40m)
Acanthaphritis barbata,37393010,North Coast,Hemerocoetidae,82,370,Barbel Duckbill,"Shelf Demersal (40-200m)
Slope Demersal (200-2000m)"
Acanthistius pardalotus,37311132,Gascoyne Coast,Serranidae,0,30,Leopard Wirrah,Coastal (0-40m)
Acanthistius pardalotus,37311132,South Coast,Serranidae,0,30,Leopard Wirrah,Coastal (0-40m)
Acanthistius pardalotus,37311132,West Coast,Serranidae,0,30,Leopard Wirrah,Coastal (0-40m)
Acanthistius serratus,37311035,Gascoyne Coast,Serranidae,0,40,Western Wirrah,Coastal (0-40m)
Acanthistius serratus,37311035,South Coast,Serranidae,0,40,Western Wirrah,Coastal (0-40m)
Acanthistius serratus,37311035,West Coast,Serranidae,0,40,Western Wirrah,Coastal (0-40m)
Acanthocepola abbreviata,37380002,Gascoyne Coast,Cepolidae,10,40,Yellowspotted Bandfish,Coastal (0-40m)
